player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,6,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,35.80286,1e-04,Character.FOX,Action.GRAB_RUNNING,3,True,60.0,2,True,False,1.66,1.66,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,7,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,37.38286,1e-04,Character.FOX,Action.GRAB_RUNNING,4,True,60.0,2,True,False,1.5799999,1.5799999,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,8,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,38.88286,1e-04,Character.FOX,Action.GRAB_RUNNING,5,True,60.0,2,True,False,1.4999999,1.4999999,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,1,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,40.302856,1e-04,Character.FOX,Action.GRAB_RUNNING,6,True,60.0,2,True,False,1.4199998,1.4199998,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,2,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,41.642857,1e-04,Character.FOX,Action.DAMAGE_NEUTRAL_2,1,True,60.0,1,False,False,0.0,0.0,-0.3225934,0.886318,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,47.264904,2.031596,Character.FOX,Action.DAMAGE_NEUTRAL_2,1,True,60.0,1,False,False,0.0,0.0,-0.3225934,0.886318,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
